Group/Investment,Ticker,Inception Date,Morningstar Category,Index,Analysis Date,Analyst Rating,People Rating,Process Rating,Parent Rating,Performance Rating,Price Rating,Star Rating,Prospectus Adjusted Operating Expense Ratio,Morningstar Fee Level Rank - Distribution,Fund Size,Fund Size Rank,Est Fund-Level Net Flow 1 Yr,Est Fund-Level Net Flow 1 Yr Rank,Est Fund-Level Net Flow 3 Yr,Est Fund-Level Net Flow 3 Yr Rank,Est Fund-Level Net Flow 5 Yr,Est Fund-Level Net Flow 5 Yr Rank,Flows % 1 Yr,Flows % 1 Yr Rank,Manager Tenure - Longest,Manager Tenure - Longest Rank,Manager Tenure - Average,Manager Tenure - Average Rank,Manager Ownership Level,12 Mo Yield,12 Mo Yield Rank,Eff Duration,Eff Duration Rank,Credit Qual AAA %,Credit Qual AAA Rank,Credit Qual AA %,Credit Qual AA Rank,Credit Qual A % ,Credit Qual A Rank,Credit Qual BBB %,Credit Qual BBB Rank,Credit Qual BB %,Credit Qual BB Rank,Credit Qual B %,Credit Qual B Rank,Credit Qual CCC %,Credit Qual CCC Rank,Credit Qual NR %,Credit Qual NR Rank,% Asset in Top 10,% Asset in Top 10 Rank,# of Holdings ,# of Holdings Rank,Government %,Government Rank,Government Related % ,Government Related Rank,Corporate Bond %,Corporate Bond Rank,Agency MBS %,Agency MBS Rank,Nonagency RMBS %,Nonagency RMBS Rank,CMBS % ,CMBS Rank,ABS %,ABS Rank,Cash & Equivalents % ,Cash & Equivalents Rank,3 Yr Return,3 Yr Return Rank,3 Yr Std Dev,3 Yr Std Dev Rank,3 Yr Sharpe Ratio,3 Yr Sharpe Ratio Rank,3 Yr Alpha,3 Yr Alpha Rank,3 Yr Beta,3 Yr Beta Rank,3 Yr R2,3 Yr R2 Rank,3 Yr Max Drawdown,3 Yr Max Drawdown Rank,5 Yr Return,5 Yr Return Rank,5 Yr Std Dev,5 Yr Std Dev Rank,5 Yr Sharpe Ratio,5 Yr Sharpe Ratio Rank,5 Yr Alpha,5 Yr Alpha Rank,5 Yr Beta,5 Yr Beta Rank,5 Yr R2,5 Yr R2 Rank,5 Yr Max Drawdown,5 Yr Max Drawdown Rank,10 Yr Return,10 Yr Return Rank,10 Yr Std Dev,10 Yr Std Dev Rank,10 Yr Sharpe Ratio,10 Yr Sharpe Ratio Rank,10 Yr Alpha,10 Yr Alpha Rank,10 Yr Beta,10 Yr Beta Rank,10 Yr R2,10 Yr R2 Rank,10 Yr Max Drawdown,10 Yr Max Drawdown Rank,15 Yr Return,15 Yr Return Rank,15 Yr Std Dev,15 Yr Std Dev Rank,15 Yr Sharpe Ratio,15 Yr Sharpe Ratio Rank,15 Yr Alpha,15 Yr Alpha Rank,15 Yr Beta,15 Yr Beta Rank,15 Yr R2,15 Yr R2 Rank,15 Yr Max Drawdown,15 Yr Max Drawdown Rank,IR Shock Oct 2010 - Jan 2011,IR Shock Oct 2010 - Jan 2011 Rank,Eurozone Crisis June - Sep 2011,Eurozone Crisis June - Sep 2011 Rank,Taper Tantrum May - Aug 2013,Taper Tantrum May - Aug 2013 Rank,EM LC Sell-Off Sep - Dec 2014,EM LC Sell-Off Sep - Dec 2014 Rank,HY Sell-Off June 2015 - Feb 2016,HY Sell-Off June 2015 - Feb 2016 Rank,IR Shock Aug - Dec 2016,IR Shock Aug - Dec 2016 Rank,IR Shock 2018 Jan - Oct 2018,IR Shock 2018 Jan - Oct 2018 Rank,EM LC Sell-Off April - Oct 2019,EM LC Sell-Off April - Oct 2019 Rank,HY Equity Sell-Off Oct - Dec 2018,HY Equity Sell-Off Oct - Dec 2018 Rank,2008 Return,2008 Return Rank,2009 Return,2009 Return Rank
USAA High Income Institutional,UIHIX,8/1/08,US Fund High Yield Bond,No,,,,,,,,4.00,0.74,57,"2,141,765,088.00",16,"-133,758,521.66",81,"-317,111,576.24",73,"-481,355,816.77",70,-5.87,50,12.50,21,3.57,67,"Julianne Bass [$100,001 - $500,000];R.Neal Graves [$0 - None];John Spear [$10,001 - $50,000];Kurt Daum [$1 - $10,000];James F. Jackson [$0 - None];",5.96,22,3.56,27,0.45,44,0.42,4,3.80,5,16.79,5,29.55,75,35.72,74,11.92,37,1.35,48,14.55,34,464,20,0.18,21,0.51,12,83.17,64,0.37,6,0.07,8,0.26,7,0.46,23,0.32,92,7.03,34,4.73,20,1.14,61,-0.76,71,1.05,13,97.74,20,-5.52,79,3.59,61,5.67,21,0.49,71,-1.02,74,0.99,16,-13.27,88,95.68,35,9.11,18,6.38,38,1.32,25,0.04,28,0.98,35,95.78,38,-13.27,84,6.93,26,8.11,55,0.70,37,0.24,31,0.87,60,-31.23,57,92.64,65,6.33,27,-8.32,72,-1.55,37,-3.07,55,-11.83,88,4.93,28,0.33,53,0.94,67,-5.52,85,-28.00,73,54.72,23
VALIC Company II High Yield Bond,VCHYX,9/21/98,US Fund High Yield Bond,No,,,,,,,,3.00,,68,"669,870,223.00",32,"59,289,726.93",12,"67,252,061.00",17,"159,209,561.81",20,9.69,21,10.00,32,10.00,9,Christopher A. Jones [$0 - None],4.61,82,3.72,14,6.20,10,0.00,9,0.00,22,2.44,67,30.09,74,46.01,24,12.78,32,2.48,34,9.95,56,296,44,0.00,25,0.00,20,87.16,48,0.00,8,0.00,11,0.00,12,0.00,36,5.01,43,6.78,46,4.70,24,1.10,70,-0.94,80,1.04,16,98.20,11,-4.88,57,4.11,36,5.19,55,0.63,46,-0.23,49,0.91,52,-7.83,37,96.03,30,7.96,69,5.89,69,1.25,47,-0.42,51,0.91,68,96.43,30,-7.83,29,6.24,73,8.52,38,0.59,74,-0.67,76,0.91,42,-34.66,80,93.71,58,5.18,67,-6.81,39,-2.55,80,-2.14,28,-7.31,40,3.51,69,-0.01,64,1.28,53,-4.88,64,-31.29,88,43.50,66
VanEck Vectors Fallen Angel HiYld Bd ETF,ANGL,4/10/12,US Fund High Yield Bond,Yes,,,,,,,,5.00,0.35,,"1,123,537,687.00",24,"-75,780,500.00",75,"929,840,000.00",4,"1,104,084,500.00",6,-6.33,52,7.25,47,7.25,28,"Francis G. Rodilosso [$1 - $10,000]",5.49,54,5.70,2,0.00,49,0.00,9,0.00,22,0.00,93,73.81,1,17.84,95,6.49,71,1.86,40,17.08,25,211,62,0.00,25,0.00,20,97.45,13,0.00,8,0.00,11,0.00,12,0.00,36,1.20,81,7.71,12,5.18,7,1.17,54,-0.51,60,1.12,5,93.09,61,-6.16,89,6.57,1,6.72,7,0.84,13,1.29,7,1.15,5,-10.23,69,90.68,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.36,73,-1.94,22,-8.79,59,5.37,19,-1.12,89,0.76,78,-5.82,92,,,,
VanEck Vectors Intl Hi Yld Bd ETF,IHY,4/2/12,US Fund High Yield Bond,Yes,,,,,,,,2.00,0.40,,"114,215,138.00",64,"-48,300,000.00",66,"-17,403,941.34",44,"-64,657,941.34",45,-29.72,93,7.25,47,7.25,28,"Francis G. Rodilosso [$1 - $10,000]",4.76,79,3.40,44,0.00,49,0.00,9,0.00,22,0.00,93,60.48,8,30.71,84,3.81,84,5.00,21,5.78,90,602,13,0.00,25,3.45,4,95.36,22,0.00,8,0.00,11,0.00,12,0.00,36,0.51,90,6.16,70,4.93,14,0.94,90,-0.36,51,0.85,66,58.95,93,-6.58,94,2.58,94,6.47,8,0.29,95,-1.79,91,0.95,32,-13.07,86,67.41,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.45,77,-6.96,95,-6.32,30,1.02,97,-3.64,98,-3.75,98,-2.76,16,,,,
Vanguard High-Yield Corporate Adm,VWEAX,11/12/01,US Fund High Yield Bond,No,5/6/19,Silver,Positive,Positive,Positive,Positive,Positive,4.00,0.13,2,"25,023,030,140.00",1,"-498,498,616.41",96,"1,843,180,974.08",3,"2,529,682,766.29",3,-1.95,40,11.42,28,11.42,8,"Michael L. Hong [$500,001 - $1,000,000]",5.69,37,3.78,10,4.13,15,0.01,8,0.00,22,7.00,28,44.43,27,35.18,75,7.68,63,1.57,43,7.31,81,474,19,3.15,8,0.00,20,89.43,38,0.00,8,0.00,11,0.00,12,0.00,36,2.99,61,6.71,49,4.46,41,1.15,59,-0.63,66,0.97,37,96.45,38,-4.36,41,4.80,11,4.80,70,0.81,16,0.74,16,0.82,69,-5.42,15,92.53,55,8.36,47,5.59,81,1.38,19,0.41,19,0.85,78,94.18,56,-5.42,4,6.53,58,7.87,64,0.67,50,-0.07,50,0.85,64,-28.76,39,95.35,38,3.91,87,-4.56,10,-2.94,91,-0.78,9,-4.98,20,3.10,78,-0.04,66,1.42,42,-4.36,46,-21.19,29,39.27,78
Victory High Yield Y,RSYYX,5/12/09,US Fund High Yield Bond,No,,,,,,,,5.00,0.76,66,"160,212,893.00",58,"76,530,534.65",10,"62,105,026.11",18,"25,712,565.00",29,95.41,4,9.67,34,6.33,38,"Kevin Booth [$0 - None];Paul Gillin [$100,001 - $500,000];John Blaney [$0 - None];",6.13,18,2.73,76,0.97,38,0.00,9,0.00,22,0.00,93,25.70,87,47.82,17,24.41,7,1.10,51,13.12,41,114,82,0.00,25,0.00,20,70.65,83,0.00,8,0.00,11,0.00,12,0.00,36,7.01,24,9.52,2,4.21,61,1.82,4,2.39,3,0.91,56,91.55,66,-4.00,31,4.79,12,5.59,24,0.70,31,0.29,30,0.95,33,-11.88,80,90.50,66,8.46,40,6.09,61,1.28,33,-0.08,33,0.93,62,93.58,61,-11.88,75,6.68,50,7.77,68,0.69,38,0.16,39,0.84,68,-27.89,31,94.35,51,5.52,57,-7.18,47,-2.26,71,-6.02,92,-10.68,79,5.51,17,3.47,3,3.19,1,-4.00,34,-20.10,20,37.62,80
Virtus Newfleet Dynamic Credit ETF,BLHY,12/5/16,US Fund High Yield Bond,No,,,,,,,,,0.68,,"12,076,826.00",97,"-66,653,263.86",72,,,,,-82.17,100,2.58,81,2.58,75,"David L. Albrycht [$0 - None];Francesco Ossino [$100,001 - $500,000];Jonathan R. Stanley [$0 - None];",6.03,21,,,,,,,,,,,,,,,,,,,15.81,29,80,89,0.14,22,0.00,20,9.12,98,0.00,8,0.00,11,0.00,12,0.00,36,49.46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,21,1.44,41,-4.33,45,,,,
Virtus Newfleet High Yield I,PHCIX,8/8/12,US Fund High Yield Bond,No,,,,,,,,3.00,0.76,66,"60,140,531.00",75,"-7,655,030.16",48,"-20,152,599.63",44,"-33,690,257.00",40,-11.20,67,7.58,42,7.25,28,"David L. Albrycht [$10,001 - $50,000];Francesco Ossino [$100,001 - $500,000];Kyle A. Jennings [$0 - None];Jonathan R. Stanley [$0 - None];",5.88,25,3.34,48,1.63,30,0.66,3,0.30,16,7.53,26,32.56,70,41.42,45,13.52,27,2.38,34,7.61,78,329,39,1.51,11,0.15,14,79.89,73,0.00,8,0.30,4,1.07,4,1.58,13,3.46,55,6.35,64,4.31,54,1.11,69,-0.83,75,0.95,45,97.17,27,-5.10,67,3.89,46,4.93,68,0.61,49,-0.27,51,0.86,64,-7.22,29,95.24,38,7.69,76,5.68,78,1.24,49,-0.33,48,0.87,75,94.23,56,-7.22,16,5.57,91,7.42,78,0.58,80,-0.66,75,0.80,79,-29.56,47,93.36,60,3.84,91,-6.90,41,-2.70,83,-3.53,66,-6.54,33,3.69,61,0.84,38,1.40,46,-5.10,73,-23.91,47,31.15,93
Virtus Seix High Income I,STHTX,10/3/01,US Fund High Yield Bond,No,,,,,,,,4.00,0.80,72,"330,643,252.00",42,"-46,051,411.42",66,"-319,998,752.90",74,"-741,016,821.34",78,-12.18,69,7.92,42,7.00,32,"Michael Kirkpatrick [$10,001 - $50,000];James FitzPatrick [$10,001 - $50,000];",5.58,46,,,0.74,41,0.00,9,0.00,22,2.14,70,25.57,88,49.69,12,19.08,10,2.78,30,10.79,52,246,55,0.00,25,0.00,20,89.73,37,0.00,8,0.00,11,0.00,12,0.93,17,3.07,60,6.78,46,4.58,29,1.13,64,-0.76,71,1.01,24,96.70,33,-5.65,83,3.65,57,6.08,11,0.47,74,-1.26,82,1.07,7,-11.96,82,98.08,4,9.15,16,7.61,9,1.12,80,-1.39,87,1.17,6,94.69,51,-11.96,76,7.41,14,9.19,22,0.68,46,0.12,40,0.97,24,-31.32,58,91.25,75,8.95,5,-10.28,90,-2.38,75,-4.41,79,-11.24,85,4.92,29,1.00,33,1.92,18,-5.65,89,-27.45,67,61.53,8
Virtus Seix High Yield I,SAMHX,12/29/00,US Fund High Yield Bond,No,,,,,,,,3.00,0.64,24,"305,724,674.00",45,"-54,076,744.77",68,"-280,271,339.85",72,"-705,393,421.66",75,-14.87,77,12.42,21,9.25,15,"Michael Kirkpatrick [$10,001 - $50,000];James FitzPatrick [$10,001 - $50,000];",5.31,64,,,1.41,33,0.00,9,0.00,22,1.51,76,40.20,43,51.96,9,2.97,86,1.95,38,10.79,52,251,55,0.00,25,0.00,20,91.57,32,0.00,8,0.00,11,0.00,12,0.67,20,2.95,62,6.64,53,3.79,75,1.32,29,0.08,32,0.84,68,98.26,10,-4.05,32,3.55,63,5.17,56,0.53,67,-0.78,68,0.91,51,-10.06,66,97.57,9,7.67,78,6.01,62,1.18,64,-0.83,70,0.93,61,96.17,33,-10.06,63,6.01,82,7.51,76,0.63,62,-0.29,60,0.80,76,-25.70,16,92.92,62,5.99,40,-7.72,59,-2.71,84,-3.46,64,-10.06,73,3.93,53,1.20,27,2.09,14,-4.05,35,-20.23,21,35.70,84
Voya High Yield Bond I,IHYIX,7/31/08,US Fund High Yield Bond,No,2/12/19,Neutral,Neutral,Neutral,Neutral,Positive,Neutral,4.00,0.72,49,"416,114,786.00",38,"-196,043,054.43",87,"-379,070,159.38",77,"-202,123,532.06",58,-32.00,93,12.33,22,9.13,15,"Randall Parrish [$100,001 - $500,000];Rick Cumberledge [$100,001 - $500,000];",5.52,50,3.47,34,0.00,49,0.00,9,0.00,22,0.49,86,37.89,53,45.53,29,13.50,28,2.58,31,7.09,82,325,40,0.00,25,0.00,20,96.00,20,0.00,8,0.00,11,0.00,12,0.00,36,0.39,91,6.58,56,4.51,35,1.11,69,-0.91,78,1.00,26,99.10,1,-5.07,65,4.32,27,4.96,66,0.69,32,0.13,36,0.86,63,-6.27,21,95.00,39,9.12,17,6.14,57,1.37,20,0.32,21,0.95,52,96.66,26,-6.98,13,6.66,53,8.80,31,0.62,66,-0.56,73,0.96,26,-34.85,82,97.36,7,6.14,33,-6.58,35,-2.16,65,-3.30,59,-5.34,22,4.03,50,0.27,55,1.40,45,-5.07,72,-27.90,72,49.40,51
Voya High Yield Port I,IPIMX,4/29/05,US Fund High Yield Bond,No,,,,,,,,4.00,0.48,5,"496,760,158.00",36,"-57,219,210.63",70,"-237,928,039.12",69,"-470,787,565.12",68,-10.28,64,5.42,61,5.42,48,Randall Parrish [$0 - None];Rick Cumberledge [$0 - None];,5.43,58,3.47,34,0.00,49,0.00,9,0.00,22,0.42,87,37.01,56,45.91,24,12.97,31,3.69,27,6.82,83,339,36,0.00,25,0.00,20,96.53,18,0.00,8,0.00,11,0.00,12,0.00,36,0.27,93,6.95,39,4.52,35,1.18,51,-0.57,63,1.00,25,99.01,2,-5.01,62,4.62,17,5.15,58,0.73,28,0.27,31,0.90,54,-6.93,26,97.02,18,8.86,25,6.34,44,1.29,31,-0.18,39,0.98,38,96.93,19,-6.93,12,7.22,17,8.52,39,0.70,34,0.18,38,0.92,38,-29.76,49,95.52,34,4.45,78,-6.69,37,-2.26,70,-3.39,60,-6.15,29,4.26,42,0.37,52,1.45,40,-5.01,70,-22.37,35,49.77,50
VY® Pioneer High Yield I,IPHIX,1/3/06,US Fund High Yield Bond,No,,,,,,,,4.00,0.71,46,"99,196,117.00",67,"-7,550,476.39",47,"-12,171,889.69",41,"-46,402,027.54",42,-7.05,53,12.25,22,7.00,32,Andrew Feltus [$0 - None];Matthew Shulkin [$0 - None];,5.06,71,3.41,42,4.19,14,0.00,9,0.00,22,3.77,53,34.32,66,44.14,34,7.35,66,6.23,15,7.56,79,342,35,0.00,25,0.00,20,84.82,58,0.00,8,0.00,11,0.00,12,0.00,36,5.95,32,7.00,36,4.27,56,1.25,39,-0.15,44,0.94,50,96.12,41,-4.39,43,3.40,68,5.65,22,0.46,77,-1.15,78,0.98,21,-11.71,80,93.72,48,9.32,13,8.29,5,1.06,90,-1.46,90,1.20,4,84.40,91,-14.41,87,,,,,,,,,,,,,,,11.05,1,-13.79,98,-0.70,21,-5.20,87,-11.22,84,4.09,47,0.00,63,0.72,81,-4.39,49,-29.27,79,66.75,4
Wells Fargo High Yield Bond Inst,EKHIX,10/31/14,US Fund High Yield Bond,No,,,,,,,,3.00,0.53,9,"415,858,899.00",38,"-79,557,897.13",76,"-254,508,049.86",70,"-282,867,686.80",62,-15.94,79,6.92,49,3.58,65,"Margaret D. Patel [$10,001 - $50,000];Robert C. Junkin [$0 - None];",4.69,80,3.94,8,0.00,49,0.00,9,0.00,22,11.20,14,44.09,29,39.22,57,4.99,77,0.50,63,26.22,11,106,84,0.00,25,0.00,20,84.97,57,0.00,8,0.00,11,0.00,12,0.00,36,1.51,77,6.15,70,5.11,9,0.90,93,-1.82,97,1.09,8,91.63,65,-5.40,76,4.25,32,5.42,39,0.63,45,-0.01,40,0.89,55,-5.89,18,84.56,80,8.16,60,5.80,74,1.29,31,0.15,25,0.86,76,89.33,82,-5.89,6,6.29,68,8.27,48,0.61,71,-0.52,67,0.89,48,-32.24,66,94.67,46,4.19,85,-4.86,14,-4.52,98,-1.61,15,-4.10,13,2.99,80,-2.75,96,-0.95,94,-5.25,77,-26.17,61,52.42,36
Wells Fargo High Yield Corporate Bond,WYCBX,8/4/17,US Fund High Yield Bond,Yes,,,,,,,,,0.00,1,"1,014,590.00",100,"964,160.37",31,,,,,9.64,21,1.92,87,1.92,83,Thomas M. Price [$0 - None];Janet S. Rilling [$0 - None];Michael J. Schueller [$0 - None];,5.71,36,,,,,,,,,,,,,,,,,,,6.93,83,270,50,0.00,25,0.00,20,98.58,10,0.00,8,0.00,11,0.00,12,0.00,36,1.40,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,55,1.15,61,-4.89,65,,,,
Wells Fargo Short-Term Hi Yld Bd Inst,STYIX,11/30/12,US Fund High Yield Bond,No,,,,,,,,2.00,0.51,7,"958,870,543.00",25,"-141,533,627.35",82,"-547,408,733.49",83,"-914,073,437.52",81,-12.86,73,21.17,5,14.89,5,"Thomas M. Price [$100,001 - $500,000];Kevin J. Maas [$100,001 - $500,000];Michael J. Schueller [$10,001 - $50,000];",3.58,95,0.85,97,0.00,49,0.00,9,0.00,22,14.92,7,63.25,5,21.83,92,0.00,94,0.00,75,15.68,30,125,79,0.00,25,0.00,20,71.54,81,0.00,8,0.00,10,0.00,12,0.00,36,3.76,51,3.35,97,1.53,98,1.20,47,-0.05,36,0.32,97,88.14,76,-1.12,3,2.88,84,1.72,98,1.13,3,0.89,12,0.27,98,-1.12,1,79.34,85,4.29,98,2.21,100,1.67,2,0.98,10,0.32,100,84.50,89,-2.63,1,3.99,98,3.17,100,0.81,6,0.60,17,0.32,100,-10.47,2,80.70,95,2.53,96,-2.38,4,-0.26,15,-0.55,6,0.05,2,1.38,95,1.96,15,1.76,26,-1.12,5,-5.82,3,15.34,98
Western Asset Global High Yield Bd IS,LWGSX,8/31/12,US Fund High Yield Bond,No,,,,,,,,3.00,0.80,72,"269,531,924.00",47,"-32,726,228.14",60,"-129,025,118.03",60,"-356,897,004.39",64,-10.90,64,13.33,16,8.50,19,S. Kenneth Leech [$0 - None];Michael C. Buchanan [$0 - None];Ian R. Edmonds [$0 - None];Walter E. Kilcullen [$0 - None];Christopher F. Kilpatrick [$0 - None];,5.69,37,4.29,3,0.00,49,2.79,1,0.00,22,9.28,20,36.49,58,36.57,71,10.14,48,4.73,23,19.54,18,264,52,26.70,2,2.03,7,58.78,90,0.00,8,0.00,11,0.00,12,0.49,22,3.33,58,7.35,21,5.09,11,1.13,65,-0.38,52,1.04,17,83.62,83,-4.87,56,3.21,74,6.22,10,0.39,83,-1.53,87,1.03,11,-14.52,91,87.06,76,8.37,46,7.07,16,1.10,84,-1.36,87,1.07,15,92.98,69,-14.52,88,6.38,65,9.53,12,0.55,89,-1.20,92,1.03,10,-36.72,88,96.03,19,5.57,54,-9.33,83,-3.01,92,-6.75,94,-11.29,87,4.75,34,-1.73,93,-0.40,92,-4.16,39,-30.98,86,57.05,16
Western Asset High Yield IS,WAHSX,8/4/08,US Fund High Yield Bond,No,,,,,,,,4.00,0.67,35,"241,687,301.00",50,"-4,866,757.33",43,"-112,376,072.01",57,"-372,272,506.30",65,-1.97,40,13.92,13,8.69,18,"S. Kenneth Leech [$1,000,001 and above];Michael C. Buchanan [$0 - None];Walter E. Kilcullen [$50,001 - $100,000];",5.79,31,3.98,7,0.00,49,0.00,9,0.00,22,4.45,46,39.13,49,40.83,48,8.77,57,6.82,14,10.89,51,396,27,1.04,14,0.20,12,85.72,53,0.00,8,0.00,11,0.00,12,5.03,5,1.79,76,7.22,25,5.03,12,1.12,68,-0.78,74,1.09,9,93.36,60,-6.25,90,3.28,73,6.27,9,0.40,82,-1.60,88,1.07,8,-15.02,92,92.08,58,8.71,29,6.85,20,1.18,63,-0.82,69,1.04,19,93.70,59,-15.02,90,6.58,56,9.30,16,0.59,76,-0.88,82,1.01,14,-35.52,85,95.79,28,7.21,9,-8.10,69,-2.18,67,-5.15,86,-13.94,94,4.57,36,1.20,28,2.03,16,-6.25,95,-30.16,83,56.74,17
Western Asset Short Duration High Inc I,SHIYX,2/5/96,US Fund High Yield Bond,No,10/10/18,Neutral,Positive,Neutral,Positive,Negative,Positive,3.00,0.73,54,"411,067,102.00",39,"-45,547,171.99",65,"-324,601,044.47",74,"-1,090,949,381.75",84,-9.94,62,13.42,15,8.53,19,S. Kenneth Leech [$0 - None];Michael C. Buchanan [$0 - None];Walter E. Kilcullen [$0 - None];,5.82,29,2.03,83,0.24,46,0.00,9,0.65,11,5.07,40,36.70,58,39.72,53,11.71,38,5.91,17,10.93,51,368,29,0.59,16,0.00,20,75.66,78,0.40,5,0.44,2,0.00,12,10.58,1,0.74,87,7.08,31,4.01,68,1.35,25,0.43,24,0.85,65,89.46,73,-4.74,52,2.35,95,5.79,18,0.27,96,-2.05,94,0.94,34,-17.27,95,83.84,81,8.24,55,6.57,28,1.16,69,-0.76,64,0.98,36,90.67,77,-17.27,94,6.31,67,9.29,19,0.56,87,-1.10,88,1.00,15,-35.94,86,94.99,42,6.91,15,-7.69,58,-1.00,26,-4.77,83,-16.23,96,5.52,16,3.33,4,3.02,2,-4.74,60,-30.05,82,59.27,12
Western Asset SMASh Series EC,LMECX,12/27/06,US Fund High Yield Bond,No,,,,,,,,5.00,0.00,1,"2,099,065,196.00",16,"181,049,357.72",6,,,,,9.55,22,12.58,20,5.99,42,S. Kenneth Leech [$0 - None];Michael C. Buchanan [$0 - None];Ryan K. Brist [$0 - None];Julien A. Scholnick [$0 - None];Walter E. Kilcullen [$0 - None];Chia-Liang Lian [$0 - None];,4.25,90,,,0.00,49,0.00,9,11.04,1,12.42,11,29.11,76,14.14,97,2.44,87,30.85,1,32.47,9,349,32,24.16,2,0.01,19,16.96,97,6.50,1,0.00,11,15.11,1,0.75,20,4.35,47,6.45,61,6.56,3,0.77,96,1.02,9,0.67,83,21.51,98,-7.66,96,6.15,1,5.89,15,0.89,9,3.24,1,0.52,91,-7.66,34,24.61,98,10.28,2,6.60,25,1.44,13,3.31,1,0.73,93,49.12,98,-7.66,26,,,,,,,,,,,,,,,1.45,98,-3.39,7,-4.85,99,0.71,1,-0.73,4,0.36,98,-6.16,99,-7.41,99,0.27,1,-20.47,25,49.21,52
Westwood Opportunistic High Yield Instl,WWHYX,12/29/14,US Fund High Yield Bond,No,,,,,,,,3.00,0.75,59,"1,845,074.00",99,"-311,900.49",37,"-2,910,504.18",38,,,-3.12,44,4.58,64,2.79,73,"Hannah Strasser [$100,001 - $500,000];Trevor Kaufman [$0 - None];",5.64,40,,,,,,,,,,,,,,,,,,,16.41,27,156,74,0.00,25,0.00,20,94.32,23,0.00,8,0.00,11,0.00,12,0.00,36,4.88,44,6.69,50,4.26,57,1.19,50,-0.49,59,0.95,47,97.68,21,-4.93,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.45,54,5.43,18,-0.49,77,0.50,86,-4.93,67,,,,
Westwood Short Duration High Yield Instl,WHGHX,12/28/11,US Fund High Yield Bond,No,,,,,,,,2.00,0.80,72,"60,486,213.00",74,"-7,631,156.99",47,"-14,661,020.25",42,"-117,330,154.85",51,-11.19,66,7.58,42,5.58,48,"Anne C. Yobage [$100,001 - $500,000];David Kinsley [$0 - None];",4.56,84,,,0.00,49,0.00,9,0.00,22,1.63,74,51.26,15,41.38,46,5.73,75,0.00,75,7.23,81,296,44,0.00,25,0.00,20,98.92,8,0.00,8,0.00,11,0.00,12,0.00,36,1.08,83,4.95,90,2.52,93,1.34,26,0.13,31,0.55,91,96.28,39,-2.28,9,2.72,91,3.06,94,0.60,53,-0.17,46,0.52,91,-5.10,14,91.30,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,9,-2.76,38,-4.59,18,2.97,80,1.91,16,1.76,26,-2.28,12,,,,
WisdomTree Fdmtl US S-T HiYld CorpBd,SFHY,4/27/16,US Fund High Yield Bond,Yes,,,,,,,,3.00,0.38,,"20,190,925.00",91,"15,110,650.00",19,"15,110,548.15",25,,,151.11,2,3.25,75,3.25,68,Rick Cumberledge [$0 - None];Randy Parrish [$0 - None];,5.21,67,2.01,85,0.00,49,0.00,9,0.00,22,3.00,61,55.77,11,32.55,80,8.68,58,0.00,75,19.25,19,119,81,0.00,25,0.00,20,100.00,1,0.00,8,0.00,11,0.00,12,0.00,36,0.00,95,5.99,74,3.17,87,1.38,20,0.46,22,0.67,84,89.11,73,-3.05,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11,76,3.94,2,2.93,3,-3.05,18,,,,
WisdomTree Fundamental US Hi Yld Corp Bd,WFHY,4/27/16,US Fund High Yield Bond,Yes,,,,,,,,4.00,0.38,,"20,625,575.00",91,"10,059,808.60",22,"10,059,704.34",26,,,100.60,3,3.25,75,3.25,68,Rick Cumberledge [$0 - None];Randy Parrish [$0 - None];,5.33,62,3.70,17,0.00,49,0.00,9,0.00,22,7.51,26,59.17,9,28.02,87,5.30,76,0.00,75,13.27,40,204,63,0.00,25,0.00,20,100.00,2,0.00,8,0.00,11,0.00,12,0.00,36,0.00,95,6.98,38,4.55,30,1.18,51,-0.47,58,0.99,31,95.77,45,-4.15,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69,62,0.87,38,1.51,38,-4.15,38,,,,
